file_kind,category,value,count
GAF,Date,20090317,84
GAF,Date,20090706,84
GAF,Date,20101119,84
GAF,Date,20110330,84
GAF,Date,20120518,84
GAF,Date,20130125,84
GAF,Date,20140721,84
GAF,Date,20150203,84
GAF,Date,20160119,84
GAF,Date,20090625,83
GAF,Date,20101021,83
GAF,Date,20110323,83
GAF,Date,20110715,83
GAF,Date,20110830,83
GAF,Date,20120308,83
GAF,Date,20120314,83
GAF,Date,20130129,83
GAF,Date,20130211,83
GAF,Date,20130819,83
GAF,Date,20140415,83
GAF,Date,20140720,83
GAF,Date,20141111,83
GAF,Date,20160205,83
GAF,Date,20160602,83
GAF,Date,20040806,82
GAF,Date,20081128,82
GAF,Date,20090114,82
GAF,Date,20090824,82
GAF,Date,20100208,82
GAF,Date,20100426,82
GAF,Date,20100628,82
GAF,Date,20110823,82
GAF,Date,20120224,82
GAF,Date,20130307,82
GAF,Date,20150126,82
GAF,Date,20150210,82
GAF,Date,20150406,82
GAF,Date,20150611,82
GAF,Date,20150629,82
GAF,Date,20151116,82
GAF,Date,20090316,81
GAF,Date,20100219,81
GAF,Date,20100608,81
GAF,Date,20100609,81
GAF,Date,20110406,81
GAF,Date,20110920,81
GAF,Date,20121213,81
GAF,Date,20130205,81
GAF,Date,20140613,81
GAF,Date,20140709,81
GAF,Date,20140722,81
GAF,Date,20150218,81
GAF,Date,20150323,81
GAF,Date,20051209,80
GAF,Date,20080604,80
GAF,Date,20110120,80
GAF,Date,20110301,80
GAF,Date,20110812,80
GAF,Date,20111118,80
GAF,Date,20111220,80
GAF,Date,20120302,80
GAF,Date,20120601,80
GAF,Date,20120827,80
GAF,Date,20130613,80
GAF,Date,20131216,80
GAF,Date,20140605,80
GAF,Date,20150825,80
GAF,Date,20011002,79
GAF,Date,20050707,79
GAF,Date,20080310,79
GAF,Date,20080509,79
GAF,Date,20090330,79
GAF,Date,20100415,79
GAF,Date,20110825,79
GAF,Date,20110908,79
GAF,Date,20111211,79
GAF,Date,20121004,79
GAF,Date,20140112,79
GAF,Date,20140411,79
GAF,Date,20141127,79
GAF,Date,20141201,79
GAF,Date,20160107,79
GAF,Date,20160331,79
GAF,Date,20030404,78
GAF,Date,20080606,78
GAF,Date,20090312,78
GAF,Date,20100705,78
GAF,Date,20110428,78
GAF,Date,20110819,78
GAF,Date,20111031,78
GAF,Date,20130314,78
GAF,Date,20130704,78
GAF,Date,20131115,78
GAF,Date,20140409,78
GAF,Date,20140723,78
GAF,Date,20140724,78
GAF,Date,20140807,78
GAF,Date,20141006,78
GAF,Date,20150428,78
GAF,Date,20150602,78
GAF,Date,20150729,78
GAF,Date,20160112,78
GAF,Date,20080327,77
GAF,Date,20080928,77
GAF,Date,20090206,77
GAF,Date,20091030,77
GAF,Date,20110201,77
GAF,Date,20110405,77
GAF,Date,20110412,77
GAF,Date,20110512,77
GAF,Date,20120913,77
GAF,Date,20130111,77
GAF,Date,20130628,77
GAF,Date,20140915,77
GAF,Date,20150123,77
GAF,Date,20150127,77
GAF,Date,20160121,77
GAF,Date,20040312,76
GAF,Date,20080118,76
GAF,Date,20080121,76
GAF,Date,20080314,76
GAF,Date,20080402,76
GAF,Date,20090819,76
GAF,Date,20091130,76
GAF,Date,20101203,76
GAF,Date,20110810,76
GAF,Date,20111207,76
GAF,Date,20130805,76
GAF,Date,20140416,76
GAF,Date,20141118,76
GAF,Date,20050322,75
GAF,Date,20060315,75
GAF,Date,20100706,75
GAF,Date,20101008,75
GAF,Date,20110404,75
GAF,Date,20111115,75
GAF,Date,20120423,75
GAF,Date,20140319,75
GAF,Date,20141222,75
GAF,Date,20151024,75
GAF,Date,20060227,74
GAF,Date,20090731,74
GAF,Date,20090814,74
GAF,Date,20090901,74
GAF,Date,20110921,74
GAF,Date,20111114,74
GAF,Date,20111120,74
GAF,Date,20120305,74
GAF,Date,20120926,74
GAF,Date,20121220,74
GAF,Date,20130617,74
GAF,Date,20141024,74
GAF,Date,20150706,74
GAF,Date,20061204,73
GAF,Date,20081013,73
GAF,Date,20090420,73
GAF,Date,20090903,73
GAF,Date,20091126,73
GAF,Date,20100107,73
GAF,Date,20110304,73
GAF,Date,20110331,73
GAF,Date,20110803,73
GAF,Date,20110905,73
GAF,Date,20110929,73
GAF,Date,20150120,73
GAF,Date,20150310,73
GAF,Date,20160311,73
GAF,Date,20160606,73
GAF,Date,20040809,72
GAF,Date,20061117,72
GAF,Date,20070914,72
GAF,Date,20080624,72
GAF,Date,20081205,72
GAF,Date,20120322,72
GAF,Date,20120713,72
GAF,Date,20120914,72
GAF,Date,20130601,72
GAF,Date,20140825,72
GAF,Date,20140905,72
GAF,Date,20150923,72
GAF,Date,20151208,72
GAF,Date,20160125,72
GAF,Date,20040202,71
GAF,Date,20081007,71
GAF,Date,20090415,71
GAF,Date,20090716,71
GAF,Date,20090804,71
GAF,Date,20091102,71
GAF,Date,20100304,71
GAF,Date,20100528,71
GAF,Date,20110202,71
GAF,Date,20110208,71
GAF,Date,20110315,71
GAF,Date,20110411,71
GAF,Date,20111108,71
GAF,Date,20120806,71
GAF,Date,20131010,71
GAF,Date,20140219,71
GAF,Date,20140428,71
GAF,Date,20140506,71
GAF,Date,20140707,71
GAF,Date,20150610,71
GAF,Date,20160420,71
GAF,Date,20010927,70
GAF,Date,20050216,70
GAF,Date,20060206,70
GAF,Date,20080620,70
GAF,Date,20091209,70
GAF,Date,20100118,70
GAF,Date,20100707,70
GAF,Date,20110207,70
GAF,Date,20110223,70
GAF,Date,20110328,70
GAF,Date,20110808,70
GAF,Date,20111004,70
GAF,Date,20120801,70
GAF,Date,20121017,70
GAF,Date,20130909,70
GAF,Date,20131009,70
GAF,Date,20131030,70
GAF,Date,20141223,70
GAF,Date,20150930,70
GAF,Date,20160129,70
GAF,Date,20080923,69
GAF,Date,20090515,69
GAF,Date,20100708,69
GAF,Date,20100810,69
GAF,Date,20110419,69
GAF,Date,20120209,69
GAF,Date,20120521,69
GAF,Date,20130807,69
GAF,Date,20130828,69
GAF,Date,20131108,69
GAF,Date,20140206,69
GAF,Date,20140403,69
GAF,Date,20140910,69
GAF,Date,20150306,69
GAF,Date,20150413,69
GAF,Date,20160610,69
GAF,Date,20041206,68
GAF,Date,20061127,68
