universe,null,block,start,end,metric,mean
leaf107,matched_stratified,8,400000,450000,role_min_f1,0.9878118139696122
leaf107,matched_stratified,8,400000,450000,train_nodes,41749.16882
leaf107,matched_stratified,8,400000,450000,train_edges,567152.88906
leaf107,matched_stratified,9,450000,500000,mean_wup,0.2337276183718443
leaf107,matched_stratified,9,450000,500000,row_overlap,0.9756173626029492
leaf107,matched_stratified,9,450000,500000,f1,0.9901635881698132
leaf107,matched_stratified,9,450000,500000,role_min_f1,0.9878097080969811
leaf107,matched_stratified,9,450000,500000,train_nodes,41751.4607
leaf107,matched_stratified,9,450000,500000,train_edges,567165.39428
leaf107,matched_stratified,10,500000,550000,mean_wup,0.23372194443255662
leaf107,matched_stratified,10,500000,550000,row_overlap,0.975585567073822
leaf107,matched_stratified,10,500000,550000,f1,0.9901554736328125
leaf107,matched_stratified,10,500000,550000,role_min_f1,0.987785831180811
leaf107,matched_stratified,10,500000,550000,train_nodes,41749.81238
leaf107,matched_stratified,10,500000,550000,train_edges,567186.83974
leaf107,matched_stratified,11,550000,600000,mean_wup,0.23374283442258834
leaf107,matched_stratified,11,550000,600000,row_overlap,0.9756719762325287
leaf107,matched_stratified,11,550000,600000,f1,0.9901880527198315
leaf107,matched_stratified,11,550000,600000,role_min_f1,0.987832222198248
leaf107,matched_stratified,11,550000,600000,train_nodes,41752.538
leaf107,matched_stratified,11,550000,600000,train_edges,567207.96582
leaf107,matched_stratified,12,600000,650000,mean_wup,0.23364668652653695
leaf107,matched_stratified,12,600000,650000,row_overlap,0.9755969114935398
leaf107,matched_stratified,12,600000,650000,f1,0.9901569557392598
leaf107,matched_stratified,12,600000,650000,role_min_f1,0.9877884778416157
leaf107,matched_stratified,12,600000,650000,train_nodes,41750.0951
leaf107,matched_stratified,12,600000,650000,train_edges,567154.24354
leaf107,matched_stratified,13,650000,700000,mean_wup,0.23372086277961732
leaf107,matched_stratified,13,650000,700000,row_overlap,0.9756328873872757
leaf107,matched_stratified,13,650000,700000,f1,0.9901787718141078
leaf107,matched_stratified,13,650000,700000,role_min_f1,0.987802931150198
leaf107,matched_stratified,13,650000,700000,train_nodes,41745.27214
leaf107,matched_stratified,13,650000,700000,train_edges,567092.1195
leaf107,matched_stratified,14,700000,750000,mean_wup,0.23364701298356055
leaf107,matched_stratified,14,700000,750000,row_overlap,0.9756804498958588
leaf107,matched_stratified,14,700000,750000,f1,0.9902015184652805
leaf107,matched_stratified,14,700000,750000,role_min_f1,0.9878362253415585
leaf107,matched_stratified,14,700000,750000,train_nodes,41748.03024
leaf107,matched_stratified,14,700000,750000,train_edges,567138.8332
leaf107,matched_stratified,15,750000,800000,mean_wup,0.2336555932098627
