source_type,version,label_column,observed_positive_genes,best_name,best_go_id,best_collection,best_subcollection,best_source_member,best_candidate_positive_genes,mismatch_genes,agreement,true_positives,false_positives,false_negatives,f1,jaccard,tie_count,tied_names,best_go_in_greene_table6,best_go_in_greene_table9
MSigDB 5.1 all collections,5.1,60,1829,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,GO:0048518,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,521,1412,0.669165885660731,469,52,1360,0.39914893617021274,0.24933545986177566,1,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,False,False
MSigDB 5.1 all collections,5.1,61,668,TRANSPORT,GO:0006810,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,363,575,0.8652764761012184,228,135,440,0.4422890397672163,0.28393524283935245,1,TRANSPORT,False,False
MSigDB 5.1 all collections,5.1,62,796,REGULATION_OF_TRANSPORT,GO:0051049,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,47,757,0.8226335520149953,43,4,753,0.10201660735468565,0.05375,1,REGULATION_OF_TRANSPORT,False,False
MSigDB 5.1 all collections,5.1,63,742,PROTEIN_MODIFICATION_PROCESS,GO:0006464,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,362,592,0.8612933458294283,256,106,486,0.463768115942029,0.3018867924528302,1,PROTEIN_MODIFICATION_PROCESS,False,False
MSigDB 5.1 all collections,5.1,64,762,RESPONSE_TO_DNA_DAMAGE_STIMULUS,GO:0006974,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,124,710,0.8336457357075914,88,36,674,0.1986455981941309,0.11027568922305764,1,RESPONSE_TO_DNA_DAMAGE_STIMULUS,False,False
MSigDB 5.1 all collections,5.1,65,536,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,137,493,0.8844892221180881,90,47,446,0.2674591381872214,0.15437392795883362,1,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,False,False
MSigDB 5.1 all collections,5.1,66,2043,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,GO:0006996,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,311,1852,0.5660731021555764,251,60,1792,0.21325403568394222,0.11935330480266286,1,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,False,False
MSigDB 5.1 all collections,5.1,67,1291,MEMBRANE,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,809,1150,0.7305529522024368,475,334,816,0.4523809523809524,0.2923076923076923,1,MEMBRANE,False,False
MSigDB 5.1 all collections,5.1,68,1737,ORGANELLE_PART,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,549,1324,0.689784442361762,481,68,1256,0.42082239720035,0.2664819944598338,1,ORGANELLE_PART,False,False
MSigDB 5.1 all collections,5.1,69,1080,PROTEIN_COMPLEX,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,436,858,0.7989690721649485,329,107,751,0.4340369393139842,0.2771693344566133,1,PROTEIN_COMPLEX,False,False
MSigDB 5.1 all collections,5.1,70,948,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,67,905,0.7879568884723525,55,12,893,0.10837438423645321,0.057291666666666664,1,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,False,False
MSigDB 5.1 all collections,5.1,71,597,NUCLEOLUS,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,38,565,0.8676194939081537,35,3,562,0.11023622047244094,0.058333333333333334,1,NUCLEOLUS,False,False
MSigDB 5.1 all collections,5.1,72,653,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,GO:0045935,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,117,554,0.8701968134957826,108,9,545,0.2805194805194805,0.16314199395770393,2,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS|POSITIVE_REGULATION_OF_TRANSCRIPTION,False,False
MSigDB 5.1 all collections,5.1,73,1159,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,GO:0019219,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,380,913,0.7860824742268041,313,67,846,0.40675763482781024,0.2553017944535073,1,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,False,False
